Dons,Src,Conditions,Avantages
Science de l'enchaînement surprise*,MR,"Demi-orque ou orque, For 13, Enchaînement, Succession d'enchaînements, Attaque en puissance, Enchaînement surprise, BBA +8",Fait perdre son bonus de Dextérité à la CA de toutes les cibles pendant un enchaînement
Science de l'entraînement*,MJRA,"For 13, Attaque en puissance, BBA +1","Le personnage ne provoque pas d’ attaque d’opportunité lorsqu’il effectue une manœuvre d’ entraînement . De plus, il reçoit un bonus de +2 aux tests des tentatives d’entraînement. Il bénéficie également d’un bonus de +2 à son DMD contre les tentatives d’entraînement effectuées par ses adversaires.

Le personnage gagne un bonus égal à la moitié de son grade aux tests de manœuvre offensive d’entraînement et ce même bonus est ajouté à son DMD lorsqu’un adversaire tente de l’entraîner. Ces bonus se cumulent avec ceux conférés par la version non-mythique de Science de l’entraînement. De plus, le personnage peut effectuer une attaque d’opportunité contre une créature qui tente de l’entraîner, à moins qu’elle possède également ce don."
Science de l'étrange héritage,AM,"Cha 15, Étrange héritage, personnage de niveau 11",Gain d'un pouvoir de lignage
Science de l'improvisation,MR,"Int 13, Apprentissage rapide, Improvisation, humain","Les pénalités de non-formation sont divisées par deux, les bonus d'Improvisation passe à +4"
Science de l'initiative*,MJ,—,"Le personnage bénéficie d’un bonus de +4 au test d’ initiative .

Astuce martiale ( règles ) ¶ Le personnage peut dépenser 10 points d’endurance avant d’effectuer son test d’ initiative pour considérer qu’il a obtenu 20 au dé.

Version mythique ¶ Le personnage engage le combat avec une rapidité et une assurance incroyables.

Le bonus aux tests d’initiative dont bénéficie le personnage grâce à Science de l’initiative augmente d’un montant égal à son grade . De plus, au lieu de lancer le dé d’ initiative , le personnage peut dépenser une utilisation de pouvoir mythique pour considérer que son jet est un 20 naturel."
Science de la bousculade*,MJ,Attaque en puissance,"Lors d’une manœuvre offensive , le personnage peut tenter une bousculade sans provoquer d’ attaque d’opportunité de la part de sa cible. Le personnage bénéficie de plus d’un bonus de +2 aux tests destinés à bousculer un adversaire et un bonus de +2 à sa manœuvre défensive quand un ennemi essaie de le bousculer.

Le personnage gagne un bonus égal à la moitié de son grade aux tests de manoeuvre offensive de bousculade et ajoute ce même bonus à son DMD lorsqu’un adversaire tente de le bousculer. Ces bonus se cumulent avec ceux conférés par la version non-mythique de Science de la bousculade. De plus, le personnage peut effectuer une attaque d’opportunité contre une créature qui tente de le bousculer, à moins qu’elle possède également ce don."
Science de la canalisation,MJ,Capacité de classe canalisation d'énergie,"Le personnage ajoute 2 au DD des jets de sauvegarde destinés à résister à l’énergie qu’il canalise.

Version mythique ¶ Le personnage est un intermédiaire sans pareil du pouvoir divin.

Les créatures non-mythiques qui subissent des dégâts infligés par la canalisation d’énergie du personnage doivent effectuer deux jets de sauvegarde et conserver le pire."
Science de la canalisation de force,MR,"Canalisation de force, aasimar, canalisation d'énergie 4d6","Comme Canalisation de force, mais affecte toutes les créatures dans une ligne de 18m ou un cône de 9m au lieu d'une seule"
Science de la connaissance des monstres,AM,Capacité de classe connaissance des monstres,bonus sacré aux tests de connaissance des monstres
Science de la destruction*,MJ,Attaque en puissance,"Lorsque le personnage essaye de détruire un objet tenu ou porté par un adversaire (comme une arme ou un bouclier), il ne s’expose pas à une attaque d’opportunité . Il bénéficie de plus d’un bonus de +2 aux tests de combat destinés à briser un objet et un bonus de +2 à son score de manœuvre défensive quand un ennemi essaie de détruire son équipement.

Le personnage gagne un bonus égal à la moitié de son grade aux tests de manœuvre offensive de destruction et ajoute ce même bonus à son DMD lorsqu’un adversaire tente une telle manœuvre contre lui. Ces bonus se cumulent avec ceux conférés par la version non-mythique de Science de la destruction. De plus, le personnage peut effectuer une attaque d’opportunité contre une créature qui tente une manœuvre de destruction contre l’un des objets qu’il porte, à moins qu’elle possède également ce don."
Science de la feinte*,MJ,Expertise du combat,La feinte est une action de mouvement
Science de la feinte à deux armes*,AG,"Dex 17, Int 13, Expertise du combat, Science du combat à deux armes, Feinte à deux armes, Combat à deux armes, BBA +6",Test de Bluff à la place de la première attaque
Science de la frappe décisive*,MJ,"Frappe décisive, BBA +11",Triple les dégâts d'une attaque
Science de la frappe dévastatrice*,AG,"Frappe dévastatrice, Frappe décisive, BBA +13",Bonus aux jets de confirmation de coups critiques
Science de la lacération furieuse*,AG,"Lacération furieuse, BBA +9, attaque spéciale éventration",Inflige des dégâts supplémentaires en cas d'éventration
Science de la lutte*,MJ,"Dex 13, Science du combat à mains nues","Le personnage ne provoque pas d’ attaque d’opportunité lorsqu’il fait une manœuvre de combat pour engager une lutte . Il bénéficie de plus d’un bonus de +2 aux tests de combat destinés à lutter avec un adversaire et un bonus de +2 à la manœuvre défensive quand un ennemi essaie de lutter avec lui.

Le personnage gagne un bonus égal à la moitié de son grade aux tests de manœuvre offensive de lutte et ce même bonus est ajouté à son DMD lorsqu’un adversaire tente de lutter contre lui. Ces bonus se cumulent avec ceux conférés par la version non-mythique de Science de la lutte. De plus, le personnage peut effectuer une attaque d’opportunité contre une créature qui tente de lutter contre lui, à moins qu’elle possède également ce don."
Science de la magie flexible,MCA,"Magie flexible, Maîtrise des sorts, magicien de niveau 8",Préparation de plus de sorts de manière flexible
Science de la maîtrise du fouet*,AG,"Arme de prédilection (fouet), Maîtrise du fouet, BBA +5",Le personnage utilise son fouet pour menacer une case et peut saisir de petits objets
Science de la noblesse drow,MR,"Cha 13, Noblesse drow, capacité à utiliser des pouvoirs magiques drow, drow",Gain de nouveaux pouvoirs magiques
Science de la seconde chance*,MJRA,"Int 13, Expertise du combat, Seconde chance, BBA +11",Pénalité de -5 aux attaques suivantes pour relancer la première attaque ratée
Science de la subtilisation*,MJRA,"Int 13, Expertise du combat","Le personnage ne provoque pas d’ attaque d’opportunité lorsqu’il effectue une manœuvre de subtilisation . De plus, il reçoit un bonus de +2 aux tests des tentatives de subtilisation. Il bénéficie également d’un bonus de +2 à son DMD contre les tentatives de subtilisation effectuées par ses adversaires.

Le personnage gagne un bonus égal à la moitié de son grade aux tests de manœuvre offensive de subtilisation et ce même bonus est ajouté à son DMD lorsqu’un adversaire tente de le subtiliser. Ces bonus se cumulent avec ceux conférés par la version non-mythique de Science de la subtilisation. De plus, le personnage peut effectuer une attaque d’opportunité contre une créature qui tente de le subtiliser, à moins qu’elle possède également ce don."
Science de la vigie,DTT,Vigie,Un allié avec Vigie qui agit lors du round de surprise fait perdre l'état pris au dépourvu au personnage
Science de la vigueur surhumaine,MJ,Vigueur surhumaine,Le personnage peut relancer un jet de Vigueur 1/jour
Science de la volonté de fer,MJ,Volonté de fer,Le personnage peut relancer un jet de Volonté 1/jour
Science des réflexes surhumains,MJ,Réflexes surhumains,Le personnage peut relancer un jet de Réflexes 1/jour
Science du chant funeste,MCA,Capacité à jouer le chant funeste,"Chant funeste s'étend à 18 mètres et peut, au maximum, effrayer ses victimes"
Science du combat à deux armes*,MJ,"Dex 17, Combat à deux armes, BBA +6",Attaque supplémentaire avec l'arme secondaire
Science du combat à mains nues*,MJ,—,Le personnage est toujours considéré comme armé
Science du combat en aveugle*,MJRA,"10 rangs en Perception, Combat en aveugle",Ignore les pourcentages d'échec pour les camouflages non totaux
Science du combattant étudié,MCA,"Int 13, Enquêteur amateur, Combattant étudié, BBA +8, 1 rang en Connaissances (n'importe), aucun niveau dans une classe dotée d'inspiration",Frappe étudiée accorde un bonus de +4 aux jets d'attaque et de dégâts
Science du contresort,MJ,—,Capacité à contrer un sort à l'aide d'un autre sort de la même école
Science du coup de bouclier*,MJ,Maniement des boucliers,Conserve le bonus de bouclier même en frappant avec
Science du coup fabuleux*,MCA,For 13; capacité de classe coup fabuleux ou Coup fabuleux; Attaque en puissance,"Le personnage reçoit un bonus de +2 au test de manoeuvre offensive pour effectuer un coup fabuleux. Il gagne également un bonus de +2 au degré de manoeuvre défensive quand un adversaire tente une manoeuvre offensive de coup fabuleux contre lui. Chaque fois que le personnage réussit une manoeuvre offensive de coup fabuleux , le mouvement de son adversaire provoque une attaque d’opportunité de la part de tous les alliés du personnage (mais pas de la part du personnage)."
Science du coup sous la ceinture*,MR,"BBA +4, halfelin, trait racial coup sous la ceinture","Le bonus pour confirmer les coups critiques contre les adversaires plus grands que le personnage passe à +2. De plus, il peut, une fois par jour, relancer le jet de confirmation de coup critique s’il rate le premier. Il doit conserver le second résultat, même s’il est pire que le premier.

Astuce martiale ( règles ) ¶ Le personnage peut dépenser 5 points d’endurance pour relancer un second jet de confirmation de coup critique au cours d’une même journée."
Science du critique*,MJ,"Maniement de l'arme utilisée, BBA +8",Double la zone de critique d'une arme
Science du croc-en-jambe*,MJ,Expertise du combat,"Le personnage ne provoque pas d’ attaque d’opportunité lorsqu’il tente de faire un croc-en-jambe . Il bénéficie de plus d’un bonus de +2 aux tests de combat destinés à faire un croc-en-jambe à un adversaire et un bonus de +2 à la manœuvre défensive quand un ennemi essaie de faire de même.

Le personnage gagne un bonus égal à la moitié de son grade aux tests de manoeuvre offensive de croc-en-jambe et ajoute ce même bonus à son DMD lorsqu’un adversaire tente une telle manoeuvre contre lui. Ces bonus se cumulent avec ceux conférés par la version non-mythique de Science du croc-en-jambe. De plus, le personnage peut effectuer une attaque d’opportunité contre une créature qui tente une manœuvre de croc-en-jambe contre lui, à moins qu’elle possède également ce don."
Science du désarmement*,MJ,Expertise du combat,"Le personnage ne provoque pas d’ attaque d’opportunité quand il tente de désarmer son ennemi. De plus, il reçoit un bonus de +2 aux tests destinés à désarmer un adversaire et un bonus de +2 à la manœuvre défensive quand ses ennemis essaient de le désarmer .

Le personnage gagne un bonus égal à la moitié de son grade aux tests de manœuvre offensive de désarmement et ce même bonus est ajouté à son DMD lorsqu’un adversaire tente de le désarmer. Ces bonus se cumulent avec ceux conférés par la version non-mythique de Science du désarmement. De plus, le personnage peut effectuer une attaque d’opportunité contre une créature qui tente de le désarmer, à moins qu’elle possède également ce don."
Science du développement de la résistance,AG,"Dur à cuire, Endurance, Développement de la résistance, BBA +11",Double la RD due à Développement de la résistance
Science du lancer ki*,MJRA,"Science de la bousculade, Lancer ki",Lancer un adversaire dans une case occupée en tant que bousculade
Science du lancer lors d'une charge*,AG,"Lancer lors d'une charge, Tir à bout portant",La cible du personnage peut se trouver à n'importe quelle distance
Science du partage des sorts,MJRA,"10 rangs en Art de la magie, capacité à obtenir un compagnon animal, un eidolon, un familier ou une monture spéciale",Les sorts affectent à la fois le personnage et sa créature liée
Science du pas de côté*,MJRA,"Dex 15, Esquive, Souplesse du serpent, Pas de côté",Le pas de côté n'utilise pas le pas de placement du round suivant
Science du renversement*,MJ,Attaque en puissance,"Le personnage ne provoque pas d’ attaque d’opportunité quand il tente de renverser un adversaire lors d’une manœuvre offensive . Il bénéficie de plus d’un bonus de +2 aux tests de combat destinés à renverser un adversaire et un bonus de +2 à la manœuvre défensive quand un ennemi essaie de le renverser. Les cibles du personnage ne peuvent pas choisir de l’éviter.

Le personnage gagne un bonus égal à la moitié de son grade aux tests de manœuvre offensive de renversement et ajoute ce même bonus à son DMD lorsqu’un adversaire tente de le renverser. Ces bonus se cumulent avec ceux conférés par la version non-mythique de Science du renversement. De plus, le personnage peut effectuer une attaque d’opportunité contre une créature qui tente de le renverser, à moins qu’elle possède également ce don."
Science du repositionnement*,MJRA,"Int 13, Expertise du combat","Le personnage ne provoque pas d’ attaque d’opportunité lorsqu’il effectue une manœuvre de repositionnement . De plus, il reçoit un bonus de +2 aux tests des tentatives de repositionnement. Il bénéficie également d’un bonus de +2 à son DMD contre les tentatives de repositionnement effectuées par ses adversaires.

Le personnage gagne un bonus égal à la moitié de son grade aux tests de manœuvre offensive de repositionnement et ajoute ce même bonus à son DMD lorsqu’un adversaire tente de le repositionner. Ces bonus se cumulent avec ceux conférés par la version non-mythique de Science du repositionnement. De plus, le personnage peut effectuer une attaque d’opportunité contre une créature qui tente de le repositionner, à moins qu’elle possède également ce don."
Science du sale coup*,MJRA,"Int 13, Expertise du combat","Le personnage ne provoque pas d’ attaque d’opportunité lorsqu’il effectue une manœuvre de sale coup . De plus, il reçoit un bonus de +2 aux tests des tentatives de sale coup. Il bénéficie également d’un bonus de +2 à son DMD contre les sales coups de ses adversaires.

Le personnage gagne un bonus égal à son grade aux tests effectués pour réaliser un sale coup et à son DMD lorsqu’un adversaire tente d’effectuer un sale coup contre lui. Ces bonus se cumulent avec ceux conférés par Science du sale coup. De plus, le personnage peut effectuer une attaque d’opportunité contre une créature qui effectue une manœuvre de sale coup contre lui, à moins qu’elle possède également ce don."
Science du tir de précision*,MJ,"Dex 19, Tir de précision, BBA +11",Pas de pourcentage de camouflage ni d'abri contre les attaques à distance
Science du tir soudain*,AG,"Dex 15, Tir à bout portant, Tir rapide, Tir soudain, Arme de prédilection, BBA +9",Le personnage menace 3 m de plus avec le Tir soudain
Science du travail alimentaire,RSE,Capacité à faire des tests de travail alimentaire,"Le personnage gagne un bonus de +3 aux tests de travail alimentaires liés à une compétence qu’il choisit quand il prend ce don. Ce bonus se cumule avec ceux des autres dons qui s’appliquent à la compétence choisie, y compris Talent ."
Scrutateur hors pair,UI,"École renforcée (divination), capacité à lancer au moins un sort de la branche scrutation",Améliore certains aspects des sorts de scrutation
Se relever avec le ki,AM,Réserve de ki,"Se relever par une action rapide, dépenser 1 point de ki pour ne pas provoquer d'attaque d'opportunité"
Seconde chance*,MJRA,"Int 13, Expertise du combat, BBA +6",Sacrifier les attaques suivantes pour relancer la première attaque ratée
Secrets rêvés,ISG,"Capacité à lancer des sorts divins, NLS 7, suivant d'un Grand Ancien ou d'un Dieu Extérieur",Donne accès à des sorts de magicien après une nuit de sommeil rêveur
Semelle de pierre,MR,Oréade,Ignore les terrains difficiles de terre et de pierre
Sens de l'embuscade*,MCA,"Int 13, capacité de classe sens des pièges",Le personnage se défend plus facilement lors des rounds de surprise
Sens de la traîtrise*,UI,"Sag 13, roublard de niveau 3, capacité de classe sens des pièges",Applique le sens des pièges aux tests pour dévoiler les déguisements et éviter les attaques surprises
Sens des ingrédients,UI,"Dispense de composantes matérielles, 6 rangs en Art de la magie, 6 rangs en Estimation",Réduit le coût des composantes de sort matérielles
Sens des pièges décuplé,RSE,"6 rangs en Perception, sens des pièges +1",Fait des tests de Perception automatiquement à proximité de pièges
Sens lugubre,ISG,"Capacité à lancer détection des morts-vivants ou détection du Mal comme un sort ou un pouvoir magique, suivant de Pharasma",Ressent intuitivement la présence de morts-vivants
Sens très affûtés,MJRA,Trait racial sens aiguisés,bonus racial de +4 aux tests de Perception
Sensibilité psychique,AO,—,Utilisation de l'extension de compétence occulte où le personnage a investi des rangs
Serment de l'affranchi,ISG,Suivant de Rovagug,"Le personnage bénéficie d'un bonus de +2 aux tests de manœuvres offensives visant à se libérer d'une lutte ou d'une immobilisation , aux tests de Force pour briser des liens ou pour défoncer une porte ou un mur, et aux jets de sauvegarde pour résister à des sorts qui enchevêtreraient ou ralentiraient le personnage."
Serpent fiélon,BD,"Morphologie bipède, extérieur non-natif de sous-type Mal","Gain d'une vitesse d'escalade et d'une vitesse de nage, immunité aux crocs-en-jambe"
Service rapide,UI,Persuasion,Meilleur suivi sur la collecte d'informations 1/jour
Serviteur céleste,MR,"Aasimar, capacité de classe compagnon animal, familier, ou monture",Confère l'archétype céleste au compagnon animal
Signes secrets,CCMI,Int 13,Le personnage peut cacher les composantes gestuelles de ses incantations
Sniper kobold*,MR,"1 rang en Discrétion, kobold",La pénalité au test de Discrétion des tirs embusqués est diminuée de moitié
Sociable,MJRA,"Cha 13, demi-elfe",Donner aux alliés un bonus de +2 aux tests de Diplomatie
Soldat damné,BD,Obédience fiélonne,Accès aux faveurs de sentinelle et bonus de malfaisance de +1 aux dégâts avec l'arme de prédilection de la divinité suivie
Soldat monteur d'hippogriffe,CSU,"6 rangs en Équitation, rôdeur de niveau 4",Gagne un hippogriffe comme compagnon animal
Sort de prédilection,MJRA,"5 rangs en Art de la magie, Augmentation d'intensité",Lancer spontanément un sort en particulier
Sort en embuscade,DTT,—,Malus aux jet de sauvegarde contre le sort pendant le round de surprise
Sort mélodieux,CCMI,Capacité de classe représentation bardique,Les incantations de sorts augmentent la durée de la représentation bardique
Souffle draconique,MR,"Aspect draconique, kobold","Le kobold gagne un bonus de +2 contre les effets de sommeil et de paralysie. Il gagne une arme de souffle que détermine la couleur de ses écailles de son don Aspect draconique ou de son trait racial écailles de dragon. L’utilisation d’une arme de souffle est une action simple qui ne provoque pas d’attaque d’opportunité. Il peut utiliser son souffle une fois par jour. Les créatures situées dans la zone du souffle qui réussissent un jet de Réflexes (DD 10 + niveaux du kobold + modificateur de Constitution du kobold) réduisent les dégâts de moitié.
Blanc (Sur). Le kobold crache un cône de froid de 4,5 m de long infligeant 2d6 points de dégâts de froid. Bleu (Sur). Le kobold crache une ligne d’électricité de 9 m de long infligeant 2d6 points de dégâts d’électricité. Noir (Sur). Le kobold crache une ligne d’acide de 9 m de long infligeant 2d6 points de dégâts d’acide. Rouge (Sur). Le kobold crache un cône de feu de 4,5 m de long infligeant 2d6 points de dégâts de feu. Vert (Sur). Le kobold crache un cône d’acide de 4,5 m de long infligeant 2d6 points de dégâts d’acide."
Souffle fétide,CM,"Con 15, Chair corrompue, 6 DV, ogre",Souffle un cône d'air fétide et de flegme
Souffle intérieur,MR,"Personnage de niveau 11, sylphe",Le personnage n'a plus besoin de respirer
Souplesse du serpent*,MJ,Esquive,"Le personnage bénéficie d’un bonus d’esquive de +4 à la CA contre les attaques d’opportunité déclenchées par un déplacement dans un espace contrôlé (ou lorsqu’il en sort). Il perd automatiquement ce bonus s’il perd son bonus de Dextérité à la CA .

Contrairement à la plupart des bonus, le bonus d’esquive est cumulatif.

Astuce martiale ( règles ) ¶ Le personnage double le bonus d’esquive à la CA conféré par l’ astuce martiale d’Esquive contre les attaques d’opportunité provoquées par son déplacement. Il peut utilise l’astuce martiale de l’Esquive même s’il ne possède pas ce don.

Version mythique ¶ Le personnage a perfectionné son aptitude à se faufiler sur le champ de bataille en utilisant ses capacités de déplacement pour pousser son

Lorsqu’il utilise Souplesse du serpent, le personnage gagne un bonus d’esquive de +6 à la CA à la place du bonus normal de +4. De plus, une fois par round lorsqu’une attaque d’opportunité provoquée par son déplacement le rate, il peut se déplacer de 1,50 mètre par une action libre . Ce déplacement n’est pas compté dans la distance totale que le personnage parcourt durant le round en cours, mais il provoque tout de même des attaques d’opportunité."
Sous les jambes*,MJRA,"Esquive, Souplesse du serpent, taille P ou plus petit","Le personnage reçoit un bonus d’esquive de +4 aux tests d’ Acrobaties pour se faufiler à côté d’ennemis plus grands que lui sans provoquer d’ attaques d’opportunité . De plus, il gagne un bonus d’esquive de +2 à la CA contre les attaques d’opportunité qu’il provoque en sortant ou en se déplaçant à l’intérieur de la zone contrôlée par un ennemi plus grand que lui (ce bonus se cumule avec le bonus de +4 offert par Souplesse du serpent , pour un bonus total de +6).

Astuce martiale ( règles ) ¶ Le personnage peut dépenser 2 points d’endurance pour bénéficier de ce don contre des adversaires de sa taille jusqu’à la fin de son tour."
Souvenir destructeur,AG,"Capacité de classe souvenir magique, 5 rangs en Art de la magie",Permet d'utiliser souvenir magique après avoir brisé un sort ennemi
Spécialisation au bouclier*,MJRA,"Maniement du bouclier choisi, Art du bouclier, guerrier de niveau 4",Bonus de +2 à la CA contre les coups critiques avec un type de bouclier
Spécialisation magique,AM,"Int 13, École renforcée",Le personnage choisit un sort et le lance comme s'il était d'un niveau supérieur
Spécialisation magique supérieure,AM,"Int 13, École renforcée, Spécialisation magique, capacité à préparer des sorts de niveau 5",Sacrifie un sort pour lancer un sort de spécialité
Spécialisation martiale*,MJ,"Arme de prédilection, guerrier de niveau 4","Le personnage obtient un bonus de +2 sur les jets de dégâts de l’arme choisie.

Lorsque le personnage utilise l’arme dans laquelle il s’est spécialisé, il gagne un bonus égal à la moitié de son grade aux jets de dégâts. Ce bonus se cumule avec celui conféré par Spécialisation martiale et Spécialisation martiale supérieure ."
Spécialisation martiale supérieure*,MJ,"Spécialisation martiale, guerrier de niveau 12","Le personnage obtient un bonus de +2 sur les jets de dégâts de l’arme choisie. Ce bonus se cumule avec tous les autres bonus aux jets de dégâts , y compris celui du don Spécialisation martiale ."
Spécialisation supérieure aux boucliers*,MJRA,"Maniement du bouclier choisi, Art du bouclier supérieur, Art du bouclier, Spécialisation au bouclier avec le bouclier choisi, guerrier de niveau 12",Bonus de +2 à la CA contre les coups critiques et annuler un coup critique par jour
Spécialiste de la Terre des pharaons,RSE,"4 rangs en Connaissances (histoire), 4 rangs en Connaissances (folklore local), sait parler la langue de la Terre des pharaons et son ancêtre",Bonus à plusieurs compétence dans la Terre des pharaons
Spécialiste du sabotage,UI,"Doigts de fée, 5 rangs en Sabotage",Les objets sabotés échouent à un moment précis
Spécicide,ISR,"3 rangs en Connaissances (voir spécial), alignement Mauvais","Les attaques du personnage infligent 1d6 points de dégâts de précision supplémentaires aux créatures qui sont du même type (et sous-type, le cas échéant) que lui. Ces dégâts bonus se cumulent avec les autres sources de dégâts de précision, comme l' attaque sournoise . Si le personnage a plus d'un sous-type, il doit choisir l'un deux ; ce don s'applique uniquement aux cibles de ce sous-type. Une fois fait, ce choix ne peut pas être modifié."
Spontanéité planifiée,RSE,"9 rangs en Connaissances (mystères), capacité à préparer et lancer des sorts de niveau 4",Augmente les options de sort du personnage en préparant deux sorts dans un unique emplacement
Spontanéité polyvalente,RSE,"Int 13 or Sag 13 (voir Spécial), capacité à lancer des sorts de 2e niveau spontanément",Le personnage obtient temporairement accès à des sorts qu'il ne connaît pas
Sprint tueur,MPNJ,"Esquive, Souplesse du serpent, Attaque éclair, BBA +13",Le personnage peut se déplacer de la moitié de sa vitesse pour infliger un coup de grâce sans provoquer d'attaque d'opportunité
Stable sur la glace,CM,Géant du froid,Pas de malus de déplacement sur la glace et les surfaces enneigées
Sténo,CCMI,"1 rang en Connaissances (mystères), 1 rang en Linguistique, 1 rang en Art de la magie, capacité de classe grimoire",Personnage plus efficace lors de l'utilisation de son grimoire
Stimulation des morts-vivants,ISG,"Canalisation d’énergie 6d6, suivant d'Urgathoa",L'énergie négative canalisée pour soigner les morts-vivants accorde une résistance à la canalisation +1
Stoïque,CCMI,Volonté de fer,"Le personnage gagne un bonus de +1 à tous les jets de sauvegarde contre les effets de peur. S’il réussit un jet de sauvegarde contre un tel effet, il est immunisé contre les effets de peur émanant de la même cible pendant les 24 heures suivantes."
Strangulation*,AG,"Dex 13, attaque sournoise +1d6, Science de la lutte, Science du combat à mains nues",Double les dégâts d'attaque sournoise contre les adversaires agrippés
Strangulation (CM),CM,"Maniement d'une arme exotique (lasso), Arme de prédilection (lasso)","Étrangle les ennemis avec un lasso, les empêchant de parler"
Subtilisation élégante*,UI,"Dex 13, Manoeuvres agiles, Science de la subtilisation, 3 rangs en Escamotage",Peut voler des objets par un sale coup et quand ils sont cachés
Subtilisation rapide*,AG,"Int 13, Expertise du combat, Science de la subtilisation, BBA +6",Peut voler un objet au lieu de faire une attaque de corps à corps
Subtilisation supérieure*,MJRA,"Int 13, Expertise du combat, Science de la subtilisation, BBA +6",Les ennemis ne remarquent pas la subtilisation avant la fin du combat
Succès éclatant,MR,Humain,"Quand le personnage confirme un coup critique ou qu’il fait un 20 naturel sur un jet de sauvegarde , il gagne un bonus de circonstances de +2 à un unique jet d’attaque , jet de sauvegarde , test de compétence ou test de caractéristique avant la fin de son prochain tour. Le personnage doit annoncer qu’il utilise le bonus avant de faire le jet ou le test associé."
Succession d'enchaînements*,MJ,"Enchaînement, BBA +4",1 attaque supplémentaire après chaque attaque qui touche
Succession de défis,CM,"Capacité de classe défi, personnage de niveau 7",Déclenche un nouveau défi immédiatement après la fin de l'ancien
Supercherie facile,MR,Gnome,Maintenir la concentration des sorts d'illusion est plus facile
Supporter la douleur (baiser de Zon-Kuthon),CSU,Survivre à dix séances de torture ou plus,Réduit les dégâts non létaux subis de moitié
Surprise*,MJ,—,Pas de malus pour utiliser une arme improvisée
Survie urbaine,RSE,"4 rangs en Connaissances (folklore local), 4 rangs en Survie, Pistage",Utilise la Survie pour dénicher de la nourriture et traquer en milieu urbain
Survivant,CCMI,"Con 13, Dur à cuire, Endurance","Quand le personnage agonise, il se stabilise plus facilement"
Survivant tenace,MR,"Con 13, Dur à cuire, Endurance, demi-orque ou orque",Persiste pour être soigné même après la mort
Symbiose spirituelle,OO,"Capacité à lancer communication avec les morts, capacité de classe fantôme",Le fantôme du personnage peut changer d'émotion dominante en fusionnant avec des esprits morts
Symbole d'espérance,ISG,"Canalisation d’énergie 3d6, suivant de Milani",L'énergie positive canalisée pour soigner les vivants accorde un bonus de moral de +2 aux jets de sauvegarde
Synergie de dissipation,AG,5 rangs en Art de la magie,La cible de la dissipation de la magie subit un malus de -2 aux jets de sauvegarde
Synergie des sens,AM,Capacité de classe partage des sens,Bonus de +4 aux tests de Perception quand le personnage partage ses sens avec son eidolon
Tacticien de la téléportation*,MJRA,"Attaques réflexes, Perturbateur, Briseur de sorts",Les créatures qui se téléportent provoquent des attaques d'opportunité
Tacticien expérimenté,MJRA,Capacité de classe tacticien,Permet d'utiliser la capacité de tacticien une fois de plus par jour
Tacticien rusé*,CCMI,"Vigilance, Attaques réflexes",Le personnage est moins handicapé quand il est pris en tenaille
Tactique de la meute,MCA,"Int 13, capacité de classe compagnon animal",Le compagnon animal du personnage est considéré comme possédant tout les dons d'équipe de ce dernier pour lui et ses alliés
Talent,MJ,—,"Le personnage bénéficie d’un bonus de +3 à tous les tests concernant la compétence choisie. Si le personnage a 10 rangs ou plus dans l’une de ces compétences , le bonus ajouté à cette compétence passe à +6.

Le personnage peut toujours faire 10 ou 20 aux tests de la compétence concernée par le don Talent, même s’il est menacé ou ne peut pas prendre son temps."
Talent d'enquêteur supplémentaire,MCA,Capacité de classe talent d'enquêteur,Gain d'un talent d'enquêteur supplémentaire
Talent de tueur supplémentaire,MCA,Capacité de classe talent de tueur,Gain d'un talent de tueur supplémentaire
Talent magique,MJRA,"Cha 10; elfe, demi-elfe ou gnome",Lancer un sort de niveau 0 trois fois par jour comme un pouvoir magique
Talent sauvage supplémentaire,AO,Cinétiste de niveau 6,Obtention d'un talent sauvage d'au moins 2 niveaux de moins que le plus puissant connu
Talent supplémentaire,MJRA,Capacité de classe talents de roublard,Gagne un talent de roublard de plus
Tatouage mystique,CCMI,École renforcée,Gagne un tour de magie comme pouvoir magique
Technique de combat divine*,WMH,Doit vénérer une unique divinité tutélaire qui possède une technique de combat divine établie,Apprend le style de combat d'une divinité
Ténacité féroce*,MR,"Trait racial férocité, demi-orque ou orque, capacité de classe rage de berserker",Dépense des rounds de rage pour absorber des dégâts mortels
Terreur inspiratrice,MCA,Capacité à jouer le chant funeste,Le personnage et ses alliés présents dans le rayon d'effet du chant funeste gagnent un bonus de +4 contre la terreur
Tête dure*,MR,"BBA +1, nain","""=+1 à l'attaque, au BMO et au DMD avec les casques, +2 aux jets de sauvegarde contre les effets de chancèlement et d'étourdissement"
Tête vestigiale,CM,Ogre,Une tête vestigiale rabougrie aide à résister aux effets subits par un jet de Volonté raté
Théurgie,AM,"Sag 13, Int ou Cha 13, capacités à lancer des sorts profanes et divins de niveau 1",Améliore les sorts profanes avec de l'énergie divine et inversement
Tir à bout portant*,MJ,—,"""=+1 à l'attaque et aux dégâts sur les cibles distantes de moins de 9 m"
Tir assuré,MTT,"Tir de loin, Tir de précision",La pénalité de portée des attaques à distance est appliquée aux dégâts au lieu de l'attaque
Tir avec concentration*,MJRA,"Int 13, Tir à bout portant, Tir de précision",Ajouter le modificateur d'Intelligence aux dégâts avec les arcs et les arbalètes
Tir de loin*,MJ,Tir à bout portant,Réduits les malus de distance de moitié
Tir de précision*,MJ,Tir à bout portant,Pas de malus pour tirer dans la mêlée
